Compound,Date,Media Source,Negative,Neutral,Positive,Text,Tweet Count
-0.3818,Mon Mar 19 19:33:04 +0000 2018,@BBC,0.11,0.89,0.0,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",1
0.1531,Mon Mar 19 18:33:05 +0000 2018,@BBC,0.116,0.709,0.175,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",2
-0.1027,Mon Mar 19 18:03:01 +0000 2018,@BBC,0.08,0.92,0.0,"😂📸 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",3
0.0,Mon Mar 19 17:30:08 +0000 2018,@BBC,0.0,1.0,0.0,🎤Pop band @FifthHarmony have announced they're taking a break to pursue solo careers 🎶https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,4
-0.7096,Mon Mar 19 17:00:05 +0000 2018,@BBC,0.414,0.442,0.144,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",5
0.0,Mon Mar 19 16:33:29 +0000 2018,@BBC,0.0,1.0,0.0,Here are the latest snow scenes from around the UK. ❄️📸 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,6
0.0,Mon Mar 19 15:02:02 +0000 2018,@BBC,0.0,1.0,0.0,'Flabbergasted'. 🎶This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,7
0.0,Mon Mar 19 14:30:08 +0000 2018,@BBC,0.0,1.0,0.0,"Meet the dancing slum kids tipped for stardom by Rihanna 🎶
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",8
0.6588,Mon Mar 19 13:44:55 +0000 2018,@BBC,0.0,0.788,0.212,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! 🙌 

Yesterday we did an amazing 431 million steps – can we do even better…",9
-0.3412,Mon Mar 19 13:03:04 +0000 2018,@BBC,0.112,0.888,0.0,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",10
