,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,vanimo,pg,-2.6741,141.3028,80.78,100.0,80.0,14.7
1,shingu,jp,33.7241,135.993,59.61,92.0,24.0,7.43
2,longyearbyen,sj,78.2186,15.6401,0.18,61.0,0.0,1.83
3,bredasdorp,za,-34.5331,20.0428,67.96,100.0,80.0,12.01
4,busselton,au,-33.6445,115.3489,68.02,100.0,88.0,7.09
5,limbang,my,4.75,115.0,76.15,100.0,32.0,1.61
6,georgetown,sh,-7.9334,-14.4167,78.28,100.0,56.0,12.91
7,ushuaia,ar,-54.807,-68.3074,43.5,87.0,36.0,17.05
8,aswan,eg,24.0911,32.8973,71.55,37.0,0.0,8.21
9,rikitea,pf,-23.1203,-134.9692,82.11,99.0,8.0,7.76
10,fairbanks,us,64.8378,-147.7167,26.31,93.0,92.0,4.18
12,poronaysk,ru,49.2216,143.1016,15.44,89.0,80.0,3.4
15,turukhansk,ru,65.7954,87.9608,8.83,83.0,68.0,17.49
16,tasiilaq,gl,65.6145,-37.6368,17.13,97.0,88.0,2.73
17,bethel,us,60.7922,-161.7559,17.35,90.0,48.0,4.41
18,tuktoyaktuk,ca,69.444,-133.032,10.44,95.0,88.0,17.83
19,butaritari,ki,3.0707,172.7902,82.54,100.0,92.0,13.69
22,freeport,us,42.2967,-89.6213,49.32,52.0,0.0,20.07
23,valparaiso,cl,-33.0394,-71.6273,70.77,41.0,0.0,10.22
25,vitim,ru,59.4397,112.5729,7.92,72.0,68.0,6.08
27,ilulissat,gl,69.2167,-51.1,6.42,87.0,68.0,2.73
28,leshan,cn,29.5609,103.762,47.61,87.0,0.0,3.18
29,avarua,ck,-21.2078,-159.775,79.92,100.0,92.0,12.01
30,bowen,au,-20.0107,148.2468,67.51,100.0,0.0,8.77
31,zile,tr,40.3,35.8856,42.4,91.0,20.0,2.28
32,castro,cl,-42.4824,-73.7644,54.07,68.0,76.0,6.31
33,fushun,cn,41.8866,123.948,29.79,96.0,92.0,12.24
34,guerrero negro,mx,27.971,-114.0364,68.0,77.0,88.0,13.02
35,akureyri,is,65.6826,-18.0914,35.15,94.0,92.0,7.65
36,tuatapere,nz,-46.1324,167.6908,59.81,98.0,56.0,18.95
37,honningsvag,no,70.9821,25.9704,21.54,100.0,68.0,8.43
38,fortuna,us,40.5974,-124.1561,52.83,90.0,20.0,7.09
39,souillac,mu,-20.5167,57.5167,79.97,81.0,92.0,20.07
40,severo-kurilsk,ru,50.6789,156.125,27.73,100.0,64.0,29.68
41,victoria,sc,-4.6167,55.45,81.48,100.0,48.0,15.37
42,seoul,kr,37.5667,126.9783,56.3,98.0,92.0,9.1
43,nanortalik,gl,60.1432,-45.2372,27.75,100.0,8.0,20.85
45,nikolskoye,ru,59.7035,30.7861,18.66,75.0,0.0,8.88
46,clyde river,ca,70.4692,-68.5915,-14.34,76.0,44.0,4.85
